Date,Day,Type,Costume Queue (2200 bullets),Mech Queue (2200 bullets) Glory Mech (1650 bullets) ,Adv Costume Disc (3000 bullets),Weapon Component (2000 bullets),Adv Costume Frag (4000 bullets),Mole (800),,Costume Queue (2200 bullets),Mech Queue (2200 bullets),Glory Mech (1650 bullets) ,Mole (800),Adv Costume Disc (3000 bullets),Adv Cos Frag (4000),Weapon Component,Lucky Charm
25 Jun,Thu,war,,,,Moochi,,,,,,,,,,,
23 Jun,Tue,war,,,,Zee,,,,,,,,,,,
20 Jun,Sat,war,,,,,,,,,,,,,,,
18 Jun,Thu,war,Green,,,,,,,,,,,,,,
16 Jun,Tue,war,,,,,,,,,,,,,,,
13 Jun,Sat,League,,"Dan_dan, Lucky6, CPxEX, All","lacan, All",,,,,,,,,,,,
11 Jun,Thu,League,,"Tango, Xuan Bing, Bing",Moochi,,,,,,,,,,,,
9 Jun,Tue,League,,"Moochi, Newbie","冰仔, Tango2, Gan Lin Lao Shi",,,,,,,,,,,,
7 Jun,Sun,League,Wee,AnewB,,,,,,,,,,,,,
6 Jun,Sat,League,Green,Jmark,Moochi,,,,,,,,,,,,
4 Jun,Thu,League,Wishy,"CPxEX, Taemin, Lucky6, Inori",,,,,,,,,,,,,
2 Jun,Tue,League,,"AnewB, Tango, Inori, Pigu",Xuan,,,,,,,,,,,,
30 May,Sat,War,Newbie,,,,,,,,,,,,,,
28 May,Thu,War,lacan,,,,,,,,,,,,,,
26 May,Tue,War,Jmark,,,,,,,,,,,,,,
23 May,Sat,War,Tango,,,,,,,,,,,,,,
16 May,Sat,League,,Jmark,,,,,,,,,,,,,
14 May,Thu,League,,CPxEX,,,,,,,,,,,,,
12 May,Tue,League,,Inori,,,,,,,,,,,,,
10 May,Sun,League,Pigu,Wishy,,,,,,,,,,,,,
9 May,Sat,League,EasyL,Moochi,,,,,,,,,,,,,
7 May,Thu,League,干林老师,CPxEX,,,,,,,,,,,,,
5 May,Tue,League,Lucky6,Jmark,,,,,,,,,,,,,
2 May,Sat,War,Anewb,,,,,,,,,,,,,,
30 Apr,Thu,War,CPxEX,,,,,,,,,,,,,,
28 Apr,Tue,War,Stryder,,,,,,,,,,,,,,
25 Apr,Sat,War,Gan Lin Lao Shi,,,,,,,,,,,,,,
18 Apr,Sat,League,,Newbie,,,,,,,,,,,,,
16 Apr,Thu,League,,"Lacan, Green",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
14 Apr,Tue,League,,CPxEX,,,,,,,,,,,,,
11 Apr,Sat,League,Bing,Inori,,,,,,,,,,,,,
10 Apr,Fri,League,Green,All,,,,,,,,,,,,,
9 Apr,Thu,League,Inori,Anewb,,,,,,,,,,,,,
7 Apr,Tue,League,All,Taemin,,,,,,,,,,,,,
2 Apr,Thu,War,Tango,,,,,,,,,,,,,,
31 Mar,Tue,War,"Stryder, Newbie",,,,,,,,,,,,,,
26 Mar,Thu,War,Green,,,,,,,,,,,,,,
24 Mar,Tue,War,WEE,,,,,,,,,,,,,,
21 Mar,Sat,League,,"Taemin, AnewB",,,,,,,,,,,,,
19 Mar,Thu,League,,"1, Stryder",,,,,,,,,,,,,
17 Mar,Tue,League,,"Lucky6, Tango, 干林老师",,,,,,,,,,,,,
15 Mar,Sun,League,WEE,Dlareg,,,,,,,,,,,,,
14 Mar,Sat,League,Stryder,AnewB,,,,,,,,,,,,,
12 Mar,Thu,League,Anewb,Pigu,,,,,,,,,,,,,
10 Mar,Tue,League,CPxEX,CPxEX,,,,,,,,,,,,,
7 Mar,Sat,,ABC,,,,,,,,,,,,,,
5 Mar,Thu,,Wee,,,,,,,,,,,,,,
28 Feb,Sat,,"Taemin, EasyL",,,,,,,,,,,,,,
26 Feb,Thu,,"green, cpxex",,,,,,,,,,,,,,
24 Feb,Tue,,"Pigu, newbie",,,,,,,,,,,,,,
